NLP;ML;Balancing;Metric;Value;Percentage
Bag of Words;KNN;Undersampler;Accuracy;0,871532847;87,153
Bag of Words;KNN;Undersampler;F1-Score;0,879671832;87,967
Bag of Words;KNN;Undersampler;MCC;0,759027482;75,903
Bag of Words;KNN;NearMiss;Accuracy;0,891970803;89,197
Bag of Words;KNN;NearMiss;F1-Score;0,878422782;87,842
Bag of Words;KNN;NearMiss;MCC;0,793205689;79,321
Bag of Words;KNN;OneSidedSelection;Accuracy;0,989025379;98,903
Bag of Words;KNN;OneSidedSelection;F1-Score;0,56703567;56,704
Bag of Words;KNN;OneSidedSelection;MCC;0,582716563;58,272
Bag of Words;KNN;Oversampler;Accuracy;0,907716925;90,772
Bag of Words;KNN;Oversampler;F1-Score;0,913949744;91,395
Bag of Words;KNN;Oversampler;MCC;0,825170422;82,517
Bag of Words;KNN;SMOTE;Accuracy;0,916826413;91,683
Bag of Words;KNN;SMOTE;F1-Score;0,912982945;91,298
Bag of Words;KNN;SMOTE;MCC;0,836333499;83,633
Bag of Words;DT;Undersampler;Accuracy;0,899756691;89,976
Bag of Words;DT;Undersampler;F1-Score;0,892146597;89,215
Bag of Words;DT;Undersampler;MCC;0,801405679;80,141
Bag of Words;DT;NearMiss;Accuracy;0,895863747;89,586
Bag of Words;DT;NearMiss;F1-Score;0,884199134;88,420
Bag of Words;DT;NearMiss;MCC;0,798596254;79,860
Bag of Words;DT;OneSidedSelection;Accuracy;0,989586581;98,959
Bag of Words;DT;OneSidedSelection;F1-Score;0,613425926;61,343
Bag of Words;DT;OneSidedSelection;MCC;0,619619298;61,962
Bag of Words;DT;Oversampler;Accuracy;0,919963245;91,996
Bag of Words;DT;Oversampler;F1-Score;0,916462729;91,646
Bag of Words;DT;Oversampler;MCC;0,842330718;84,233
Bag of Words;DT;SMOTE;Accuracy;0,919543417;91,954
Bag of Words;DT;SMOTE;F1-Score;0,9155659;91,557
Bag of Words;DT;SMOTE;MCC;0,842201061;84,220
Bag of Words;RF;Undersampler;Accuracy;0,903649635;90,365
Bag of Words;RF;Undersampler;F1-Score;0,896767466;89,677
Bag of Words;RF;Undersampler;MCC;0,808804366;80,880
Bag of Words;RF;NearMiss;Accuracy;0,899270073;89,927
Bag of Words;RF;NearMiss;F1-Score;0,888649812;88,865
Bag of Words;RF;NearMiss;MCC;0,804380782;80,438
Bag of Words;RF;OneSidedSelection;Accuracy;0,989648937;98,965
Bag of Words;RF;OneSidedSelection;F1-Score;0,612149533;61,215
Bag of Words;RF;OneSidedSelection;MCC;0,619785117;61,979
Bag of Words;RF;Oversampler;Accuracy;0,920509814;92,051
Bag of Words;RF;Oversampler;F1-Score;0,917035261;91,704
Bag of Words;RF;Oversampler;MCC;0,843424335;84,342
Bag of Words;RF;SMOTE;Accuracy;0,919844426;91,984
Bag of Words;RF;SMOTE;F1-Score;0,915859408;91,586
Bag of Words;RF;SMOTE;MCC;0,842842701;84,284
Bag of Words;LR;Undersampler;Accuracy;0,896350365;89,635
Bag of Words;LR;Undersampler;F1-Score;0,886035313;88,604
Bag of Words;LR;Undersampler;MCC;0,797529067;79,753
Bag of Words;LR;NearMiss;Accuracy;0,890024331;89,002
Bag of Words;LR;NearMiss;F1-Score;0,881177708;88,118
Bag of Words;LR;NearMiss;MCC;0,782277051;78,228
Bag of Words;LR;OneSidedSelection;Accuracy;0,985876411;98,588
Bag of Words;LR;OneSidedSelection;F1-Score;0,31981982;31,982
Bag of Words;LR;OneSidedSelection;MCC;0,375309192;37,531
Bag of Words;LR;Oversampler;Accuracy;0,895082461;89,508
Bag of Words;LR;Oversampler;F1-Score;0,889860881;88,986
Bag of Words;LR;Oversampler;MCC;0,793118923;79,312
Bag of Words;LR;SMOTE;Accuracy;0,900302593;90,030
Bag of Words;LR;SMOTE;F1-Score;0,906749648;90,675
Bag of Words;LR;SMOTE;MCC;0,809357344;80,936
Bag of Words;SVM;Undersampler;Accuracy;0,888077859;88,808
Bag of Words;SVM;Undersampler;F1-Score;0,878435518;87,844
Bag of Words;SVM;Undersampler;MCC;0,779001351;77,900
Bag of Words;SVM;NearMiss;Accuracy;0,894403893;89,440
Bag of Words;SVM;NearMiss;F1-Score;0,884880637;88,488
Bag of Words;SVM;NearMiss;MCC;0,792274934;79,227
Bag of Words;SVM;OneSidedSelection;Accuracy;0,985845233;98,585
Bag of Words;SVM;OneSidedSelection;F1-Score;0,239530988;23,953
Bag of Words;SVM;OneSidedSelection;MCC;0,341145859;34,115
Bag of Words;SVM;Oversampler;Accuracy;0,891042601;89,104
Bag of Words;SVM;Oversampler;F1-Score;0,885396966;88,540
Bag of Words;SVM;Oversampler;MCC;0,785264068;78,526
Bag of Words;SVM;SMOTE;Accuracy;0,898013339;89,801
Bag of Words;SVM;SMOTE;F1-Score;0,904657173;90,466
Bag of Words;SVM;SMOTE;MCC;0,804864137;80,486
Bag of Words;NN;Undersampler;Accuracy;0,878832117;87,883
Bag of Words;NN;Undersampler;F1-Score;0,884239888;88,424
Bag of Words;NN;Undersampler;MCC;0,767760277;76,776
Bag of Words;NN;NearMiss;Accuracy;0,904136253;90,414
Bag of Words;NN;NearMiss;F1-Score;0,894708712;89,471
Bag of Words;NN;NearMiss;MCC;0,813105842;81,311
Bag of Words;NN;OneSidedSelection;Accuracy;0,989648937;98,965
Bag of Words;NN;OneSidedSelection;F1-Score;0,611695906;61,170
Bag of Words;NN;OneSidedSelection;MCC;0,619509657;61,951
Bag of Words;NN;Oversampler;Accuracy;0,920905879;92,091
Bag of Words;NN;Oversampler;F1-Score;0,917414499;91,741
Bag of Words;NN;Oversampler;MCC;0,844270103;84,427
Bag of Words;NN;SMOTE;Accuracy;0,920216727;92,022
Bag of Words;NN;SMOTE;F1-Score;0,916211899;91,621
Bag of Words;NN;SMOTE;MCC;0,843654825;84,365
TF-IDF;KNN;Undersampler;Accuracy;0,900729927;90,073
TF-IDF;KNN;Undersampler;F1-Score;0,902392344;90,239
TF-IDF;KNN;Undersampler;MCC;0,805510593;80,551
TF-IDF;KNN;NearMiss;Accuracy;0,762530414;76,253
TF-IDF;KNN;NearMiss;F1-Score;0,68556701;68,557
TF-IDF;KNN;NearMiss;MCC;0,575390527;57,539
TF-IDF;KNN;OneSidedSelection;Accuracy;0,982725827;98,273
TF-IDF;KNN;OneSidedSelection;F1-Score;0,393873085;39,387
TF-IDF;KNN;OneSidedSelection;MCC;0,387271182;38,727
TF-IDF;KNN;Oversampler;Accuracy;0,910394322;91,039
TF-IDF;KNN;Oversampler;F1-Score;0,910656178;91,066
TF-IDF;KNN;Oversampler;MCC;0,820869266;82,087
TF-IDF;KNN;SMOTE;Accuracy;0,922070309;92,207
TF-IDF;KNN;SMOTE;F1-Score;0,923655947;92,366
TF-IDF;KNN;SMOTE;MCC;0,84518692;84,519
TF-IDF;DT;Undersampler;Accuracy;0,908515815;90,852
TF-IDF;DT;Undersampler;F1-Score;0,909528393;90,953
TF-IDF;DT;Undersampler;MCC;0,820197272;82,020
TF-IDF;DT;NearMiss;Accuracy;0,767883212;76,788
TF-IDF;DT;NearMiss;F1-Score;0,696757788;69,676
TF-IDF;DT;NearMiss;MCC;0,581435833;58,144
TF-IDF;DT;OneSidedSelection;Accuracy;0,985703595;98,570
TF-IDF;DT;OneSidedSelection;F1-Score;0,313108614;31,311
TF-IDF;DT;OneSidedSelection;MCC;0,358434374;35,843
TF-IDF;DT;Oversampler;Accuracy;0,93750099;93,750
TF-IDF;DT;Oversampler;F1-Score;0,940072005;94,007
TF-IDF;DT;Oversampler;MCC;0,878881683;87,888
TF-IDF;DT;SMOTE;Accuracy;0,941715119;94,172
TF-IDF;DT;SMOTE;F1-Score;0,943973197;94,397
TF-IDF;DT;SMOTE;MCC;0,886920199;88,692
TF-IDF;RF;Undersampler;Accuracy;0,919221411;91,922
TF-IDF;RF;Undersampler;F1-Score;0,918945313;91,895
TF-IDF;RF;Undersampler;MCC;0,839807211;83,981
TF-IDF;RF;NearMiss;Accuracy;0,770316302;77,032
TF-IDF;RF;NearMiss;F1-Score;0,700887199;70,089
TF-IDF;RF;NearMiss;MCC;0,585482947;58,548
TF-IDF;RF;OneSidedSelection;Accuracy;0,986077765;98,608
