Accuracy,F1-Score,MCC,Nota,Tecnica,Modelo,Metodo
89.5421686746988,88.84318766066838,79.09448552186852,86.58075737947603,Random Undersampler,KNN,BoW
89.6867469879518,88.62911795961742,79.70688022491014,86.66296578302419,NearMiss,KNN,BoW
98.85127341874747,59.88023952095808,59.73613403832566,69.58697162474732,OneSidedSelection,KNN,BoW
89.90351863880484,90.3763099876174,80.26522468883223,87.73034082571797,Random Oversampler,KNN,BoW
91.21370067014148,90.68228020362561,82.8918318037954,88.86752322029703,SMOTE,KNN,BoW
90.45783132530121,89.74093264248705,80.98510122726414,87.73119945938485,Random Undersampler,DT,BoW
89.9277108433735,89.12024986985946,79.9567510924247,87.03124041887929,NearMiss,DT,BoW
98.96349636834067,61.31471785922048,62.030525862432675,70.90586448730357,OneSidedSelection,DT,BoW
91.98444257853963,91.63200330783543,84.21197772751148,89.86510673043048,Random Oversampler,DT,BoW
91.9384990732086,91.53940159784517,84.18921569202259,89.80162949023038,SMOTE,DT,BoW
91.27710843373494,90.61689994815968,82.63737618010549,88.78707112753995,Random Undersampler,RF,BoW
90.02409638554218,89.23556942277692,80.14178484764636,87.15925501968559,NearMiss,RF,BoW
98.97596558496213,61.601402688486274,62.40377659845261,71.14563689009682,OneSidedSelection,RF,BoW
92.02088053104355,91.6668734850553,84.28981088310674,89.91110959606522,Random Oversampler,RF,BoW
91.97256063750574,91.57255717255718,84.26192197433515,89.84489923923881,SMOTE,RF,BoW
90.3132530120482,89.39313984168865,80.88059280516238,87.49503137514698,Random Undersampler,RL,BoW
89.6867469879518,88.90041493775934,79.44178531185386,86.7323405438311,NearMiss,RL,BoW
98.57383334891986,32.47232472324724,37.3961810934189,50.22866597220831,OneSidedSelection,RL,BoW
89.39655582135899,88.86541340875061,79.09162545161543,86.55475202261891,Random Oversampler,RL,BoW
90.03659637838437,90.68213470827037,80.95199791228976,88.08821592680371,SMOTE,RL,BoW
89.34939759036145,88.3989501312336,78.87331424732366,86.25515302503808,Random Undersampler,SVC,BoW
89.59036144578313,88.79668049792532,79.24785457923046,86.60789425521607,NearMiss,SVC,BoW
98.56448143645376,25.182778229082047,33.47184538335076,45.60047081949215,OneSidedSelection,SVC,BoW
89.0044517672407,88.44607586086349,78.31274185729549,86.05233633656579,Random Oversampler,SVC,BoW
89.78073858145467,90.46115625485224,80.48527194533833,87.79708075912438,SMOTE,SVC,BoW
88.57831325301206,89.10344827586208,78.49790243731263,86.32077806051221,Random Undersampler,NN,BoW
90.8433734939759,89.96832101372758,81.95814882083982,88.18454108556772,NearMiss,NN,BoW
98.9884348015836,61.16098144823459,62.37874133971151,70.92228475944107,OneSidedSelection,NN,BoW
92.03672311908873,91.67294805635855,84.33752998733718,89.93003730478576,Random Oversampler,NN,BoW
91.88780279146401,91.4560790235519,84.1383847969394,89.73458640887681,SMOTE,NN,BoW
