Accuracy,F1-Score,MCC,Nota,Tecnica,Modelo,Metodo
91.71084337349397,91.70684667309546,83.70857667353523,89.70827834830503,Random Undersampler,KNN,TFIDF
92.04819277108433,91.58592554818969,84.08956364223661,89.82740187742507,NearMiss,KNN,TFIDF
98.97120945240286,65.51724137931033,65.03803627014175,73.76093212029132,OneSidedSelection,KNN,TFIDF
94.15329288192518,94.10025018584093,88.31074161091769,92.66613371613118,Random Oversampler,KNN,TFIDF
94.05982161245862,93.90111990370617,88.20476374969024,92.51670629239031,SMOTE,KNN,TFIDF
91.7590361445783,91.91489361702128,84.15950164999133,89.93708125715305,Random Undersampler,DT,TFIDF
92.09638554216868,91.60696008188332,84.2010168908956,89.87783064920774,NearMiss,DT,TFIDF
99.03356039468146,69.27651139742319,68.79702944173007,76.59590315781449,OneSidedSelection,DT,TFIDF
94.54935758305477,94.75409586106474,89.43035936237877,93.37197716689076,Random Oversampler,DT,TFIDF
94.8590801793381,95.05388144557745,90.05747815895198,93.75608030736124,SMOTE,DT,TFIDF
93.59036144578313,93.62110311750598,87.55720091714052,92.0974421494839,Random Undersampler,RF,TFIDF
92.53012048192771,92.10392256749871,85.0529369485173,90.4477256413606,NearMiss,RF,TFIDF
99.09591133696009,70.40816326530613,69.95370974037351,77.46648690198646,OneSidedSelection,RF,TFIDF
94.60639090001742,94.80613591462811,89.5360214132116,93.43867103562131,Random Oversampler,RF,TFIDF
94.97473107206793,95.16330700497089,90.28335704767966,93.89617553242233,SMOTE,RF,TFIDF
91.80722891566265,91.5,83.59575909912101,89.60074700369591,Random Undersampler,RL,TFIDF
91.51807228915662,91.02040816326532,83.02766386008513,89.14663811894309,NearMiss,RL,TFIDF
98.68907143859211,51.63887291546866,51.50666361374082,63.36837022081756,OneSidedSelection,RL,TFIDF
90.96814055544114,90.92096252767028,81.93615505754278,88.68655516708111,Random Oversampler,RL,TFIDF
91.07111737773482,91.02290465420025,82.1421768351273,88.81477588031566,SMOTE,RL,TFIDF
91.80722891566265,91.33537206931702,83.60431647400452,89.5205723820753,Random Undersampler,SVC,TFIDF
91.66265060240963,91.2316269640142,83.30035104564857,89.35656389402163,NearMiss,SVC,TFIDF
98.66413106168068,53.80053908355795,53.25466508012291,64.87996857722987,OneSidedSelection,SVC,TFIDF
90.61326658322903,90.35204845958445,81.31123381325772,88.15714932891392,Random Oversampler,SVC,TFIDF
91.12260578888167,91.04135191091713,82.24883924638503,88.86353721427524,SMOTE,SVC,TFIDF
92.86746987951807,92.95908658420552,86.25612642223616,91.26044236754132,Random Undersampler,NN,TFIDF
91.90361445783132,91.46341463414635,83.78876872221468,89.65480311208468,NearMiss,NN,TFIDF
99.06941218649166,71.08958837772397,70.67645444794059,77.98126084747005,OneSidedSelection,NN,TFIDF
94.40439790244135,94.33965287905255,88.8183900271031,92.97552342191238,Random Oversampler,NN,TFIDF
94.72600243975856,94.67649598618351,89.45685220666975,93.38396165469882,SMOTE,NN,TFIDF
