Accuracy,F1-Score,MCC,Nota,Tecnica,Modelo,Metodo
85.6867469879518,86.16674429436422,72.30255697364608,82.58069813758158,Random Undersampler,KNN,DOC2VEC
94.3132530120482,93.7033084311633,89.14176644649741,92.71540908021805,NearMiss,KNN,DOC2VEC
99.03338642680907,56.43912737508797,60.80251974580607,68.17854023069778,OneSidedSelection,KNN,DOC2VEC
98.72625592116728,98.73755613478629,97.48435315492175,98.4214303364154,Random Oversampler,KNN,DOC2VEC
91.76343847530933,92.36350817408675,84.69251836802661,90.29574329787735,SMOTE,KNN,DOC2VEC
78.26506024096386,77.8813143697891,56.597416000946666,72.65627624537218,Random Undersampler,DT,DOC2VEC
95.18072289156626,95.0,90.35167386883846,93.88309919010118,NearMiss,DT,DOC2VEC
98.00899465942096,39.140811455847256,38.20514821367229,53.623941446196945,OneSidedSelection,DT,DOC2VEC
99.35441453715879,99.35613332385309,98.71710213400074,99.19594582971642,Random Oversampler,DT,DOC2VEC
96.37442372585986,96.4124752118262,92.78797803375932,95.4968380458179,SMOTE,DT,DOC2VEC
89.20481927710844,88.40579710144928,78.45716109170804,86.11839364292877,Random Undersampler,RF,DOC2VEC
98.16867469879517,98.10756972111552,96.34522504380325,97.68225979620738,NearMiss,RF,DOC2VEC
98.7601111839845,32.597623089983024,43.66449955600958,51.904964229990036,OneSidedSelection,RF,DOC2VEC
99.99920787059774,99.99920486621873,99.99841573112674,99.99900833354049,Random Oversampler,RF,DOC2VEC
99.80909681405554,99.80833923160732,99.61819318654345,99.76099211595341,SMOTE,RF,DOC2VEC
88.48192771084338,87.78742973939703,76.93976420161135,85.2491378478122,Random Undersampler,RL,DOC2VEC
96.67469879518073,96.49568308786188,93.35587524017868,95.75548505277078,NearMiss,RL,DOC2VEC
98.94437677628908,49.6274217585693,55.76360579653367,63.49070652249034,OneSidedSelection,RL,DOC2VEC
90.81288319259835,90.56229148018554,81.7071047966614,88.4111427374077,Random Oversampler,RL,DOC2VEC
91.97414489631026,91.82111721020343,83.98367245406322,89.9000129426951,SMOTE,RL,DOC2VEC
89.63855421686748,88.96870189840944,79.27794152532847,86.7134748847537,Random Undersampler,SVC,DOC2VEC
97.25301204819277,97.13998996487707,94.49747616730116,96.50761703631203,NearMiss,SVC,DOC2VEC
99.09741091227085,60.02766251728908,64.03883729669599,70.79789331088625,OneSidedSelection,SVC,DOC2VEC
91.55906908952647,91.29824102957748,83.22883130137903,89.34609561251511,Random Oversampler,SVC,DOC2VEC
92.65379192344861,92.49906986525178,85.35394082396745,90.7514681194799,SMOTE,SVC,DOC2VEC
91.42168674698794,91.23152709359604,82.89669474720993,89.1953589203475,Random Undersampler,NN,DOC2VEC
97.63855421686746,97.5413948820873,95.26976675382699,96.99777768371726,NearMiss,NN,DOC2VEC
99.27074549486242,76.47355163727958,76.10609145403356,82.08098505586379,OneSidedSelection,NN,DOC2VEC
99.31163954943679,99.3117758400849,98.62643234504814,99.1404058936637,Random Oversampler,NN,DOC2VEC
99.64750241599468,99.64702429583329,99.29618214702758,99.55943328867221,SMOTE,NN,DOC2VEC
